"CustomerId","TOB","IncomeLevel","Bal01","MaxDqBin01","MaxDqBin02","MaxDqBin03","MaxDqBin04","MaxDqBin05","MaxDqBin06","MtgBal01","NonBankTradesDq01","NonBankTradesDq02","NonBankTradesDq03","NonBankTradesDq04","NonBankTradesDq05","NonBankTradesDq06","FlagGB","FlagSample"
"0000000185",44,"1",604.86,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
"0000000238",79,"1",1006.21,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
"0000000346",102,"1",299.23,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
"0000000460",NA,"1",645.19,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
"0000000549",109,NA,218,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
"0000000559",183,NA,10.32,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
"0000000666",172,"0",3517.07,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
"0000000676",76,"1",216.52,"0","0","1","0","0","0",0,0,0,0,1,1,1,1,1
"0000000696",136,"0",1908.69,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
"0000000907",171,"0",1895.19,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
"0000000974",93,"1",1310.43,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
"0000000986",11,"0",2638.83,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,0
"0000001079",52,"4",7879.69,"0","0","0","0","0","0",17744.98,1,1,0,0,0,0,1,0
"0000001083",119,"1",5085.55,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
"0000001186",9,NA,4871.7,"0","0","0","0","0","1",0,0,0,0,0,0,0,1,1
"0000001196",17,"1",193.4,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
"0000001454",122,"1",83.34,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
"0000001507",40,"1",996.52,"0","0","0","0","0","1",0,1,2,2,1,1,2,1,0
"0000001532",133,"1",5121.6,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,0
"0000001552",59,NA,39.77,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
"0000001594",134,"1",47.54,"0","0","0","0","0","0",0,0,1,1,0,0,1,1,0
"0000001652",168,"5",335.69,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
"0000001677",178,"1",3054.95,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
"0000001717",220,"3",12495.04,"0","0","0","0","0","0",0,0,0,0,0,0,0,1,1
